Sample	Isolate_Name	Subtype	Clade	Passage_History	Location	Host	Collection_Date
EPI4747582	A/Indonesia/BIOKES-I-BT0033/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Kepulauan Riau	Human	2025-06-15
EPI4747534	A/Indonesia/BIOKES-I-SR0054/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / DI Yogyakarta	Human	2025-07-01
EPI4609442	A/Indonesia/BIOKES-IMKS992/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Sulawesi Selatan	Human	2025-06-23
EPI4609378	A/Indonesia/BIOKES-IBJM336/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Kalimantan Selatan	Human	2025-02-28
EPI4412255	A/Indonesia/BIOKES-S-RHS789/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Jawa Barat	Human	2025-01-31
EPI4081441	A/Indonesia/BIOKES-IBPP686/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Kalimantan Selatan	Human	2024-03-27
EPI4052767	A/Indonesia/BIOKES-I_BDG0867/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia	Human	2024-03-12
EPI3566657	A/Indonesia/BIOKES-I-SR0009/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Jawa Tengah	Human	2024-07-06
EPI2942913	A/Indonesia/BIOKES-ISMG0751/2021	A / H3N2	3C.2a1b.2a.2a	Original	Asia / Indonesia / Jawa Tengah	Human	2021-12-11
EPI4873137	A/Toronto/ON-SHL-FLUA-00182/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	Original	North America / Canada / Ontario / Toronto	Human	2025-11
EPI4387599	A/Riyadh/292/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Saudi Arabia / Riyadh	Human	2025-02-06
EPI3681420	A/Washington/S27463/2020	A / H3N2	3C.2a1b.2a.1	Original	North America / United States / Washington / Pierce County	Human	2020-02-14
EPI4630859	A/Hong Kong/EPI1057/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Hong Kong (SAR)	Human	2025-02-24
EPI4297064	A/Washington/UW-69024/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Washington	Human	2025-01-31
EPI4651035	A/Michigan/MIS-L386498853/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2025-02-20
EPI4367520	A/Michigan/UM-10063615822/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2025-04-21
EPI4263650	A/Michigan/UM-10062602799/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2025-02-26
EPI4263090	A/Georgia/IVY-G25Y80O1/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Georgia	Human	2025-03-10
EPI4263002	A/Michigan/UM-10062224214/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2025-02-06
EPI4281259	A/New Jersey/GKISBBBE34392/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New Jersey	Human	2025-03-04
EPI4603019	A/Pennsylvania/B24-0009/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Pennsylvania	Human	2025-01-01
EPI4296709	A/California/LACPHL-INF01673/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / California	Human	2025-01-07
EPI3664519	A/California/LACPHL-INF00622/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / California	Human	2024-11-10
EPI2385198	A/Michigan/UOM10045286424/2022	A / H3N2	3C.2a1b.2a.2b	Human	North America / United States / Michigan	Human	2022-04-30
EPI4772858	A/Ulyanovsk_Oblast/484-2V/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Ulyanovsk Oblast	Human	2025-02-25
EPI4772763	A/Udmurtia/432-2V/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Udmurtia	Human	2025-02-10
EPI3986476	A/Volgograd_Oblast/182-3V/2024	A / H3N2	3C.2a1b.2a.2a.3b	original	Europe / Russian Federation / Volgograd Oblast	Human	2024-12-17
EPI2860890	A/Yakutia/70-6V/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Sakha (Yakutia) Republic	Human	2023-11-06
EPI4772756	A/Tomsk_Oblast/426-13V/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Tomsk Oblast	Human	2025-02-03
EPI4772450	A/Belgorod_Oblast/337-4V/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Belgorod Oblast	Human	2025-01-30
EPI4881917	A/Netherlands/02394/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Netherlands	Human	2025-12-06
EPI3394881	A/Netherlands/01595/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Netherlands	Human	2024-04-21
EPI1988897	A/Netherlands/00083/2022	A / H3N2	3C.2a1b.2a.2a.1	Original	Europe / Netherlands	Human	2022-02-15
EPI4948662	A/Heilongjiang-Aihui/11189/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	C1+S1	Asia / China / Heilongjiang	Human	2025-12-02
EPI4948629	A/Hubei-Chongyang/351/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	C1+S1	Asia / China / Hubei	Human	2025-12-01
EPI4851152	A/Chongqing-Jiulongpo/32/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	E1+E1	Asia / China / Chongqing	Human	2025-09-23
EPI4851146	A/Sichuan-Gaoxin/1771/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	C1+S1	Asia / China / Sichuan	Human	2025-09-29
EPI4851137	A/Hunan-Kaifu/1990/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	C1+S1	Asia / China	Human	2025-09-22
EPI4851098	A/Shanghai-Fengxian/1849/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	C1+S1	Asia / China / Shanghai	Human	2025-10-13
EPI4851023	A/Yunnan-Menghai/2534/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	C1+S1	Asia / China / Yunnan	Human	2025-10-13
EPI4596186	A/Gansu-Xifeng/1285/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	E1+E1	Asia / China / Gansu	Human	2025-05-07
EPI2082969	A/Myanmar/21M013/2021	A / H3N2	3C.2a1b.2a.2a.3	original	Asia / Myanmar / Yangon Division / East Dagon	Human	2021-11-03
EPI3902770	A/Thailand/23/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Asia / Thailand	Human	2024-10-23
EPI1740076	A/Chanthaburi/385/2019	A / H3N2	3C.2a1b.2	"MDCK1, SIAT1"	Asia / Thailand / Chanthaburi	Human	2019-08-19
EPI1670037	A/Chanthaburi/2377/2019	A / H3N2	3C.2a1b.2b	SIAT1	Asia / Thailand / Chanthaburi	Human	2019-07-01
EPI2804403	A/South Australia/299/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK1	Oceania / Australia	Human	2023-10-09
EPI4644462	A/New Caledonia/63/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / New Caledonia	Human	2025-03-26
EPI3539087	A/Cambodia/i0610373/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	"SIAT1, SIAT1"	Asia / Cambodia / Khett Kampot	Human	2024-04-30
EPI4665016	A/Sri Lanka/21/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Asia / Sri Lanka	Human	2025-03-27
EPI4665012	A/Sri Lanka/58/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Asia / Sri Lanka	Human	2025-06-13
EPI3539142	A/Sri Lanka/91/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Asia / Sri Lanka / Matara Gh	Human	2024-08-12
EPI3007303	A/Sri Lanka/43/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Sri Lanka / Lrh Hospital	Human	2024-01-12
EPI2397475	A/Sri Lanka/8/2022	A / H3N2	3C.2a1b.2a.2a.3	Original	Asia / Sri Lanka / Colombo 8	Human	2022-10-25
EPI1985626	A/Sri Lanka/1/2022	A / H3N2	3C.2a1b.2a.2a.3b	Original Specimen	Asia / Sri Lanka / Colombo	Human	2022-01-07
EPI1584554	A/Sri Lanka/34/2019	A / H3N2	3C.2a1b.2b	SIAT2	Asia / Sri Lanka / Western	Human	2019-07-21
EPI4202689	A/Perth/1157/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	QMC2	Oceania / Australia / Western Australia	Human	2024-08-13
EPI4308850	A/Victoria/300/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Victoria	Human	2025-02-19
EPI2972380	A/Victoria/3064/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Victoria	Human	2023-10-19
EPI4777590	A/Darwin/1726/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Northern Territory	Human	2025-10-09
EPI4308974	A/Sydney/75/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / New South Wales	Human	2025-03-24
EPI1671639	A/Sydney/465/2019	A / H3N2	3C.2a1b.2b	SIAT1	Oceania / Australia / New South Wales / Granville	Human	2019-09-07
EPI4277732	A/Timor-Leste/302/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Oceania / Timor-Leste	Human	2024-02-26
EPI1882531	A/Timor-Leste/12/2021	A / H3N2	3C.2a1b.2a.1	Original Specimen	Oceania / Timor-Leste	Human	2021-03-11
EPI4769942	A/Tasmania/821/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Tasmania	Human	2025-09-04
EPI4769564	A/Tasmania/805/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Tasmania	Human	2025-08-27
EPI4671984	A/Tasmania/705/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Tasmania	Human	2025-07-25
EPI4664988	A/Tasmania/729/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Tasmania	Human	2025-07-29
EPI2686140	A/Victoria/1768/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK1	Oceania / Australia / Victoria	Human	2023-06-30
EPI4784896	A/Wairarapa/01/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / New Zealand	Human	2025-07-28
EPI4937885	A/Brunei/235/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Asia / Brunei	Human	2025-11-04
EPI4923067	A/Brunei/162/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT2	Asia / Brunei	Human	2025-10-04
EPI4607407	A/Brunei/77/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT2	Asia / Brunei	Human	2025-02-03
EPI4448311	A/Nepal/S854/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Asia / Nepal	Human	2025-03-09
EPI4514373	A/Victoria/397/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia / Victoria	Human	2025-03-31
EPI4664895	A/South_Queensland/19/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	SIAT1	Oceania / Australia	Human	2025-03-19
EPI4305393	A/YAMAGATA/210/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK 2 +hCK1	Asia / Japan	Human	2024-12-10
EPI1882472	A/MIYAGI/2/2021	A / H3N2	3C.2a1b.2a.1	Original	Asia / Japan	Human	2021-03-02
EPI4726225	A/FUKUSHIMA/17/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK 3 +hCK1	Asia / Japan	Human	2025-05-07
EPI4848366	A/TOKYO/EIS13-360/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Japan	Human	2025-07-22
EPI4848286	A/TOKYO/EIS13-299/2025	A / H3N2	3C.2a1b.2a.2a.3a	Original	Asia / Japan	Human	2025-07-09
EPI4847849	A/TOKYO/EIS13-323/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Japan	Human	2025-07-10
EPI4398620	A/TOKYO/EIS11-538/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Japan	Human	2025-01-09
EPI4224627	A/TOKYO/EIS11-465/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Japan	Human	2025-01-05
EPI1383998	A/KANAGAWA/IC18143/2019	A / H3N2	3C.2a1b.2b	Original	Asia / Japan	Human	2019-02-07
EPI4305297	A/NIIGATA/24/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	CaCo-2 1 +hCK1	Asia / Japan	Human	2025-01-21
EPI4277984	A/FUKUI/3/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK 2 +hCK1	Asia / Japan	Human	2025-01-20
EPI4450545	A/GIFU/6/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK 1 +hCK1	Asia / Japan	Human	2025-01-07
EPI4592157	A/SHIGA/13/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK 2 +hCK1	Asia / Japan	Human	2025-02-25
EPI4450497	A/OSAKA/19/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	AX-4 2 +hCK1	Asia / Japan	Human	2025-01-23
EPI1922676	A/Nepal/21FL2141/2021	A / H3N2	3C.2a1b.2a.2a.3	Original	Asia / Nepal	Human	2021-07-26
EPI4631153	A/South Africa/4751/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Africa / South Africa	Human	2025-05-26
EPI2251767	A/Colombia/4612/2022	A / H3N2	3C.2a1b.2a.2b	Original	South America / Colombia	Human	2022-10-10
EPI4780398	A/Mexico/2998/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	C1	North America / Mexico	Human	2025-04-24
EPI3955109	A/Mexico/5613/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	C1	North America / Mexico	Human	2024-11-19
EPI3954808	A/Mexico/5684/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	C1	North America / Mexico	Human	2024-11-25
EPI4645100	A/Madagascar/1994/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Africa / Madagascar	Human	2025-05-21
EPI2619498	A/Abu Dhabi/4513/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Asia / United Arab Emirates	Human	2023-04-17
EPI1448355	A/Abu Dhabi/003/2019	A / H3N2	3C.2a1b.2a	Original	Asia / United Arab Emirates	Human	2019-01-02
EPI2038621	A/Florida/22/2022	A / H3N2	3C.2a1b.2a.2a.3	Original	North America / United States / Florida	Human	2022-02-26
EPI2007452	A/Utah/13/2022	A / H3N2	3C.2a1b.2a.2a.1	Original	North America / United States / Utah	Human	2022-02-19
EPI4779191	A/District Of Columbia/40/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / District of Columbia	Human	2025-03-19
EPI3244558	A/Kenya/118/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Africa / Kenya	Human	2024-02-02
EPI1814007	A/Bolivia/436/2020	A / H3N2	3C.2a1b.2	Original	South America / Bolivia	Human	2020-03-09
EPI4631389	A/Cote D'Ivoire/1866/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Africa / Cote d'Ivoire	Human	2025-06-19
EPI2813057	A/British Columbia/RV00920/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	S2	North America / Canada	Human	2023-09-04
EPI1496130	A/Ontario/RV1084/2019	A / H3N2	3C.2a1b.2	X2	North America / Canada	Human	2019-02-05
EPI4617043	A/Sao Paulo/358392778-IAL/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	South America / Brazil	Human	2025-06-09
EPI1842275	A/Bangladesh/1924/2020	A / H3N2	unassigned	Original	Asia / Bangladesh	Human	2020-09-28
EPI4617004	A/New York/126/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / New York	Human	2025-07-10
EPI4445096	A/New York/121/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / New York	Human	2025-05-13
EPI1952557	A/New York/05/2021	A / H3N2	3C.2a1b.2a.2	Original	North America / United States / New York	Human	2021-11-02
EPI4405097	A/Maine/18/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Maine	Human	2025-04-21
EPI1548487	A/Maine/26/2019	A / H3N2	3C.2a1b.2b	Original	North America / United States / Maine	Human	2019-07-16
EPI2283987	A/Idaho/78/2022	A / H3N2	3C.2a1b.2a.2b	Original	North America / United States / Idaho	Human	2022-12-02
EPI1334401	A/New Hampshire/32/2018	A / H3N2	3C.2a1b.2	Original	North America / United States / New Hampshire	Human	2018-11-25
EPI4584810	A/Pennsylvania/498/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Pennsylvania	Human	2025-06-08
EPI4299949	A/Pennsylvania/47/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Pennsylvania	Human	2025-03-16
EPI3552309	A/Pennsylvania/248/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Pennsylvania	Human	2024-08-01
EPI4391896	A/Kentucky/60/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Kentucky	Human	2025-04-13
EPI3575516	A/Kentucky/38/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Kentucky	Human	2024-08-19
EPI4277331	A/Massachusetts/49/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Massachusetts	Human	2025-03-14
EPI4277283	A/Massachusetts/45/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Massachusetts	Human	2025-03-08
EPI3943980	A/Massachusetts/ISC-1244/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Massachusetts	Human	2024-12-18
EPI2990237	A/Massachusetts/54/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Massachusetts	Human	2023-11-18
EPI2226131	A/Missouri/19/2022	A / H3N2	3C.2a1b.2a.2a.3a	Original	North America / United States / Missouri	Human	2022-10-16
EPI1926410	A/Michigan/06/2021	A / H3N2	3C.2a1b.2a.2c	Original	North America / United States / Michigan	Human	2021-10-12
EPI4404956	A/Arkansas/58/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Arkansas	Human	2025-04-22
EPI3016182	A/Arkansas/15/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Arkansas	Human	2023-12-28
EPI3634198	A/Tennessee/71/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Tennessee	Human	2024-09-23
EPI4221286	A/New York/43/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / New York	Human	2025-01-25
EPI3133529	A/Oklahoma/05/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Oklahoma	Human	2024-02-08
EPI4276852	A/Nebraska/56/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Nebraska	Human	2025-03-18
EPI2016078	A/Nebraska/10/2022	A / H3N2	3C.2a1b.2a.2a.1a	Original	North America / United States / Nebraska	Human	2022-03-01
EPI1916958	A/Nebraska/01/2021	A / H3N2	3C.2a1b.2a.2a	Original	North America / United States / Nebraska	Human	2021-08-17
EPI2716283	A/Hawaii/32/2023	A / H3N2	3C.2a1b.2a.2a.3	OR_IR	North America / United States / Hawaii	Human	2023-07-23
EPI2040406	A/California/44/2022	A / H3N2	3C.2a1b.2a.2	Original	North America / United States / California	Human	2022-03-16
EPI1617825	A/California/171/2019	A / H3N2	3C.2a1b.2a	Original	North America / United States / California	Human	2019-10-03
EPI4391906	A/Virginia/55/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Virginia	Human	2025-04-04
EPI4792616	A/Washington/167/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Washington	Human	2025-10-09
EPI2535236	A/Washington/25/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Washington	Human	2023-03-08
EPI4300406	A/Illinois/51/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Illinois	Human	2025-03-18
EPI3127394	A/Minnesota/15/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	North America / United States / Minnesota	Human	2024-02-11
EPI2210164	A/Minnesota/37/2022	A / H3N2	3C.2a1b.2a.2a	Original	North America / United States / Minnesota	Human	2022-09-11
EPI3670744	A/Bahrain/7275/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Asia / Bahrain	Human	2024-09-27
EPI2372595	A/Togo/1505/2022	A / H3N2	3C.2a1b.2a.2a.3a	Original	Africa / Togo	Human	2022-07-24
EPI1316558	A/Maldives/808/2018	A / H3N2	3C.2a1b.2	Original	Asia / Maldives	Human	2018-05-29
EPI4856930	A/Ethiopia/5036/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Africa / Ethiopia	Human	2025-02-12
EPI1969508	A/Ethiopia/1016/2021	A / H3N2	3C.2a1b.2a	Original	Africa / Ethiopia	Human	2021-03-21
EPI2900705	A/Bangladesh/3026/2023	A / H3N2	3C.2a1b.2a.2a.3b	OR_IR	Asia / Bangladesh	Human	2023-07-15
EPI1427917	A/Bangladesh/3011/2018	A / H3N2	3C.2a1b.2	Original	Asia / Bangladesh	Human	2018-10-14
EPI2226757	A/Niger/1714/2022	A / H3N2	3C.2a1b.2a.2a.3a	Original	Africa / Niger	Human	2022-09-22
EPI4752658	A/Bhutan/3502/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	OR_IR	Asia / Bhutan	Human	2025-07-24
EPI4600892	A/Ghana/3354/2025	A / H3N2	3C.2a1b.2a.2a.3a	OR_IR	Africa / Ghana	Human	2025-06-01
EPI3518155	A/Nigeria/0080/2024	A / H3N2	3C.2a1b.2a.2a.3b	OR_IR	Africa / Nigeria	Human	2024-05-03
EPI4795951	A/Singapore/MAH0373/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	clinical specimen	Asia / Singapore	Human	2025-09-16
EPI4794128	A/Singapore/GP10784/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	clinical specimen	Asia / Singapore	Human	2025-08-18
EPI4793842	A/Singapore/NUH0732/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	clinical specimen	Asia / Singapore	Human	2025-07-11
EPI4793542	A/Singapore/GP9108/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	clinical specimen	Asia / Singapore	Human	2025-07-02
EPI3460895	A/Singapore/KK0180/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	clinical specimen	Asia / Singapore	Human	2024-01-15
EPI3456948	A/Singapore/SAR0839/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	clinical specimen	Asia / Singapore	Human	2024-01-29
EPI2965828	A/Singapore/GP18022/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	clinical specimen	Asia / Singapore	Human	2023-11-14
EPI2292195	A/Singapore/NUH0048/2022	A / H3N2	3C.2a1b.2a.2a	Clinical specimen	Asia / Singapore	Human	2022-10-05
EPI4853452	A/Minas Gerais/5536/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Minas Gerais / Alfenas	Human	2025-10-12
EPI4584770	A/Minas Gerais/1591/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Minas Gerais / Belo Horizonte	Human	2024-12-04
EPI4853593	A/Rio de Janeiro/5767/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado do Rio de Janeiro / Rio de Janeiro	Human	2025-11-23
EPI4776183	A/Rio de Janeiro/5223/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado do Rio de Janeiro / Rio de Janeiro	Human	2025-09-25
EPI4660412	A/Rio de Janeiro/1953/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado do Rio de Janeiro / Rio de Janeiro	Human	2025-04-01
EPI4635828	A/Rio de Janeiro/3057/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado do Rio de Janeiro / Rio De Janeiro	Human	2025-06-12
EPI4240435	A/Rio de Janeiro/532/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado do Rio de Janeiro / Nova Friburgo	Human	2025-02-03
EPI4767569	A/Parana/4797/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado do Parana / Santo Antonio da Platina	Human	2025-07-09
EPI2217614	A/Santa Catarina/21659/2022	A / H3N2	3C.2a1b.2a.2a.3	Original	South America / Brazil / Estado de Santa Catarina / Sao jose	Human	2022-09-16
EPI4661698	A/Bahia/2379/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado da Bahia / Santo Antonio de Jesus	Human	2025-06-04
EPI4661798	A/Espirito Santo/3503/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Espirito Santo / Serra / Patient from South America	Human	2025-07-22
EPI4852954	A/Distrito Federal/5837/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Distrito Federal / Santa Maria	Human	2025-10-20
EPI3441125	A/France/IDF-IPP06119/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / France / Region Ile-de-France	Human	2024-05-24
EPI4911923	A/Chita/RII-MH269579S/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	original	Europe / Russian Federation / Zabaykalsky Krai / Chita	Human	2025-12-10
EPI4903536	A/Saint-Petersburg/RII-MH268183S/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	original	Europe / Russian Federation / Saint-Petersburg	Human	2025-12-12
EPI4634154	A/Ivanovo/RII-MH249491S/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Ivanovo Oblast / Ivanovo	Human	2025-04-01
EPI4427473	A/Krasnodar/RII-MH237561S/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Krasnodar Krai / Krasnodar	Human	2025-01-13
EPI3845542	A/Vladimir/RII-MH223409S/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Russian Federation / Vladimir Region	Human	2025-01-10
EPI2260882	A/Saint-Petersburg/RII-3634S/2022	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Russian Federation / Saint Petersburg	Human	2022-11-22
